Slang,Makna,No_Konteks,Konteks
ilangin,hilangi,2524,"@esvitiekstirejo impactnya bnyakkk, mrk udh sering bantu aku healing, ilangin depresi, jadi tmn curhat, lagu2 mrk selalu jadi moodboostnya aku, pkoknya txt best healer deh! luv them sm💗💗 mkasi buat GAnya kak, wish me luck💙 https://t.co/o8HoZ11wAy"
moodboostnya,,2524,"@esvitiekstirejo impactnya bnyakkk, mrk udh sering bantu aku healing, ilangin depresi, jadi tmn curhat, lagu2 mrk selalu jadi moodboostnya aku, pkoknya txt best healer deh! luv them sm💗💗 mkasi buat GAnya kak, wish me luck💙 https://t.co/o8HoZ11wAy"
pkoknya,pokoknya,2524,"@esvitiekstirejo impactnya bnyakkk, mrk udh sering bantu aku healing, ilangin depresi, jadi tmn curhat, lagu2 mrk selalu jadi moodboostnya aku, pkoknya txt best healer deh! luv them sm💗💗 mkasi buat GAnya kak, wish me luck💙 https://t.co/o8HoZ11wAy"
healer,,2524,"@esvitiekstirejo impactnya bnyakkk, mrk udh sering bantu aku healing, ilangin depresi, jadi tmn curhat, lagu2 mrk selalu jadi moodboostnya aku, pkoknya txt best healer deh! luv them sm💗💗 mkasi buat GAnya kak, wish me luck💙 https://t.co/o8HoZ11wAy"
luv,,2524,"@esvitiekstirejo impactnya bnyakkk, mrk udh sering bantu aku healing, ilangin depresi, jadi tmn curhat, lagu2 mrk selalu jadi moodboostnya aku, pkoknya txt best healer deh! luv them sm💗💗 mkasi buat GAnya kak, wish me luck💙 https://t.co/o8HoZ11wAy"
them,,2524,"@esvitiekstirejo impactnya bnyakkk, mrk udh sering bantu aku healing, ilangin depresi, jadi tmn curhat, lagu2 mrk selalu jadi moodboostnya aku, pkoknya txt best healer deh! luv them sm💗💗 mkasi buat GAnya kak, wish me luck💙 https://t.co/o8HoZ11wAy"
mkasi,terima kasih,2524,"@esvitiekstirejo impactnya bnyakkk, mrk udh sering bantu aku healing, ilangin depresi, jadi tmn curhat, lagu2 mrk selalu jadi moodboostnya aku, pkoknya txt best healer deh! luv them sm💗💗 mkasi buat GAnya kak, wish me luck💙 https://t.co/o8HoZ11wAy"
ganya,,2524,"@esvitiekstirejo impactnya bnyakkk, mrk udh sering bantu aku healing, ilangin depresi, jadi tmn curhat, lagu2 mrk selalu jadi moodboostnya aku, pkoknya txt best healer deh! luv them sm💗💗 mkasi buat GAnya kak, wish me luck💙 https://t.co/o8HoZ11wAy"
wish,,2524,"@esvitiekstirejo impactnya bnyakkk, mrk udh sering bantu aku healing, ilangin depresi, jadi tmn curhat, lagu2 mrk selalu jadi moodboostnya aku, pkoknya txt best healer deh! luv them sm💗💗 mkasi buat GAnya kak, wish me luck💙 https://t.co/o8HoZ11wAy"
samperin,samperi,2525,"Temenku putus sama suami orang trs nangis-nangis, besoknya pas aku samperin dia nanya “apa aku bipolar ya?” Seketika mulut comelku ini tidak bisa menahan keinginan untuk ngomel dengan indah"
ngaca,mengaca,2526,"@sekpresosegawon @milocklatdingin @mardiasih Kurang rasa empati kita pada perasaan laki² yg sedang mengalami depresi itu yg bikin kasus bunuh diri makin marak terjadi. Seharusnya dari sini kita udah bisa menarik simpulan sii bahwa sebelum ngomongin orang lain ""kurang beriman"" lebih baik ngaca ke diri sendiri dulu"
rank,peringkat,2528,"Gegara ini gue pernah depresi ringan waktu SMA sampe yg biasanya gue juara 1 umum, merosot ke rank 10. Keluarga besar dari mama gue terpecah berai sampe sekarang, saling lapor ke meja hijau, saling ngancem, dan gue hampir kena culik sama keluarga kakak nya mama."
diagnosing,mendiagnosis,2529,"Kalau anda anda ini merasa sedang mengalami depresi dan mental disorder lainnya, segera konsultasi ke ahlinya, tidak perlu update2 “w depresi akut” apalagi self-diagnosing ya. Apalagi ternyata hanya “sedang sedih” jiakh"
caisar,,2530,"Lama tak terdengar, nama Caisar kembali mencuat di publik. Kali ini ia viral karena melakukan live TikTok 24 Jam nonstop. Banyak spekulasi muncul mulai dari sabu hingga depresi. Benarkah? #Caisar https://t.co/YqtZTOo0Do"
alzheimer,,2531,Manfaat Konsumsi Kopi Di Pagi Hari : 1. Anti Stres dan Depresi. Rutin mengonsumsi segelas kopi hitam di pagi hari bisa membantu seseorang terhindar dari stres dan depresi. 2. Menurunkan Risiko Alzheimer. ... 3. Menurunkan Berat Badan. ... 4. Menurunkan Risiko Diabetes tipe 2. https://t.co/ztadiMn2bQ
spook,,2532,"@babufess Sempet depresi kena spook di pity 80. Sempet libur gak megang genshin semingguan soalnya udah stress kerja, stress genshin pula. Ternyata akhirnya dapet Venti. Terus pas udah kurang 1 hari bannernya ilang, Elegy juga balik. Worths from the stress lah ya"
megang,memegang,2532,"@babufess Sempet depresi kena spook di pity 80. Sempet libur gak megang genshin semingguan soalnya udah stress kerja, stress genshin pula. Ternyata akhirnya dapet Venti. Terus pas udah kurang 1 hari bannernya ilang, Elegy juga balik. Worths from the stress lah ya"
venti,,2532,"@babufess Sempet depresi kena spook di pity 80. Sempet libur gak megang genshin semingguan soalnya udah stress kerja, stress genshin pula. Ternyata akhirnya dapet Venti. Terus pas udah kurang 1 hari bannernya ilang, Elegy juga balik. Worths from the stress lah ya"
bannernya,,2532,"@babufess Sempet depresi kena spook di pity 80. Sempet libur gak megang genshin semingguan soalnya udah stress kerja, stress genshin pula. Ternyata akhirnya dapet Venti. Terus pas udah kurang 1 hari bannernya ilang, Elegy juga balik. Worths from the stress lah ya"
elegy,,2532,"@babufess Sempet depresi kena spook di pity 80. Sempet libur gak megang genshin semingguan soalnya udah stress kerja, stress genshin pula. Ternyata akhirnya dapet Venti. Terus pas udah kurang 1 hari bannernya ilang, Elegy juga balik. Worths from the stress lah ya"
worths,,2532,"@babufess Sempet depresi kena spook di pity 80. Sempet libur gak megang genshin semingguan soalnya udah stress kerja, stress genshin pula. Ternyata akhirnya dapet Venti. Terus pas udah kurang 1 hari bannernya ilang, Elegy juga balik. Worths from the stress lah ya"
nentuinnya,menentukannya,2533,"Ptn! Guys kenapa ""risiko mengalami depresi"" sama ""ide bunuh diri"" itu termasuk nomina dan frasa nomina? Itu liatnya/nentuinnya gimana yaa tolong jelasin dong. Makasi banyakk https://t.co/c2X3NwJ7km"
banyakk,banyak,2533,"Ptn! Guys kenapa ""risiko mengalami depresi"" sama ""ide bunuh diri"" itu termasuk nomina dan frasa nomina? Itu liatnya/nentuinnya gimana yaa tolong jelasin dong. Makasi banyakk https://t.co/c2X3NwJ7km"
agency,,2537,"@gaskafedi Aku sih awal nya mikir juga gitu, karena dia satu agency sama aku di salah satu live streaming😩 kek orang depresi dia tu😩"
zuranolone,,2539,"Zuranolone, Kandidat Obat Baru Terapi Gangguan Depresi Mayor https://t.co/HSXDPCV9tW"
ternyta,ternyata,2542,@sempolbabii @nnurifaaa @taeoxo__3to3 @AREAJULID Mnding langsung psikiater aja gasih? Wkwkw orang mah percaya tes² kesehatan mental yg di yt berdasarkan point² pdhl itu ga valid. Yg lbh tau ya yg ahli. Kek aku kmrn aku kira aku baik² aja cuma stress krn skripsi ternyta emg ada depresi ringan😭😭
mangkalnya,berpangkalan,2543,"@Lisaamartatara4 Org yg diduga depresi tsb mangkalnya di dekat Pasar Kab Sukoharjo, Jateng.. Parangnya dibungkus kain putih.. Membahayakan sich..."
sukoharjo,,2543,"@Lisaamartatara4 Org yg diduga depresi tsb mangkalnya di dekat Pasar Kab Sukoharjo, Jateng.. Parangnya dibungkus kain putih.. Membahayakan sich..."
jateng,,2543,"@Lisaamartatara4 Org yg diduga depresi tsb mangkalnya di dekat Pasar Kab Sukoharjo, Jateng.. Parangnya dibungkus kain putih.. Membahayakan sich..."
sich,sih,2543,"@Lisaamartatara4 Org yg diduga depresi tsb mangkalnya di dekat Pasar Kab Sukoharjo, Jateng.. Parangnya dibungkus kain putih.. Membahayakan sich..."
hy,hai,2546,"@BTS_twt Hy yoongi , yoon boleh gak sih aku menghilang dari dunia capek aku yoon . Yoon kamu tau yoon tdi malam depresi ku kumat yoon kepalaku sakit parah gak bisa tidur and makan pun aku gak mood yoon , yoon aku gak mau yoon harus ada di posisi depresi yoon gak enak rasanya sakit"
nanem,menanam,2547,@sajakyata gue ga nanem tpi kok depresi yh
gapake,tidak pakai,2548,@shvrjy Ga gitu😭😭 si bapak dah depresi masak gapake teori
dikaitinnya,dikaitkannya,2549,"Semakin sini apapun masalahnya dikaitinnya sama toxic, mental, dll. Dulu perasaan ga gini gini amat ya? Berlebihan sedikit disebut toxic, bipolar, health mental, quarter life crisis. Dulu paling cuman dibilang lebay😪."
scrolling,,2550,Scrolling media sosial terlalu intens bisa tingkatkan kecemasan dan depresi. https://t.co/xHMI5C9cGg
werther,apakah,2551,"Istilah “Efek Werther” lahir dari tokoh dalam novel Johann Wolfgang von Goethe “The Sorrows of Young Werther” (1774), yang bunuh diri karena depresi https://t.co/f6S086LMal"
johann,,2551,"Istilah “Efek Werther” lahir dari tokoh dalam novel Johann Wolfgang von Goethe “The Sorrows of Young Werther” (1774), yang bunuh diri karena depresi https://t.co/f6S086LMal"
wolfgang,,2551,"Istilah “Efek Werther” lahir dari tokoh dalam novel Johann Wolfgang von Goethe “The Sorrows of Young Werther” (1774), yang bunuh diri karena depresi https://t.co/f6S086LMal"
von,,2551,"Istilah “Efek Werther” lahir dari tokoh dalam novel Johann Wolfgang von Goethe “The Sorrows of Young Werther” (1774), yang bunuh diri karena depresi https://t.co/f6S086LMal"
goethe,,2551,"Istilah “Efek Werther” lahir dari tokoh dalam novel Johann Wolfgang von Goethe “The Sorrows of Young Werther” (1774), yang bunuh diri karena depresi https://t.co/f6S086LMal"
sorrows,,2551,"Istilah “Efek Werther” lahir dari tokoh dalam novel Johann Wolfgang von Goethe “The Sorrows of Young Werther” (1774), yang bunuh diri karena depresi https://t.co/f6S086LMal"
ngelupain,melupakan,2552,@ehcopotcopott @paranoiaq @LuluFHP @Sri_Lestaaa @gaskafedi Aku kalo depresi mumet stress malah banyak tidur buat sejenak ngelupain masalah tapi kadang smpek yg ga mau bangun gtu
smpek,sampai,2552,@ehcopotcopott @paranoiaq @LuluFHP @Sri_Lestaaa @gaskafedi Aku kalo depresi mumet stress malah banyak tidur buat sejenak ngelupain masalah tapi kadang smpek yg ga mau bangun gtu
nekunin,menekuni,2554,"""Nekunin korea ada guna. Semua terlantar udh gede pikiran jadi gajelas"" Gada mereka gua udh depresi tuh masuk rsj kali hahaha"
gramed,gramedia,2556,"kemarin ke gramed pengen beli self improvement tapi ttg depresi pas mau bayar malu diliatin jadi gajadi beli, sekarang nyesel kenapa gabeli 😊"
improvement,peningkatan,2556,"kemarin ke gramed pengen beli self improvement tapi ttg depresi pas mau bayar malu diliatin jadi gajadi beli, sekarang nyesel kenapa gabeli 😊"
gabeli,tidak beli,2556,"kemarin ke gramed pengen beli self improvement tapi ttg depresi pas mau bayar malu diliatin jadi gajadi beli, sekarang nyesel kenapa gabeli 😊"
isok,bisa,2557,"@sbyfess depresi nder, tanpa suplemen otomatis isok kurus"
bbd,,2558,bbd bangun bangun depresi
nawarin,menawari,2559,"@disyarinda Sedih dengernya, perihal ini ada di kode etik kita...sampai orangnya minta bantuan/membuka untuk dibantu, kita ga bisa seruduk nawarin bantuan 😔. Masnya juga ga mau kan tiba2 disamperin 'mas kayanya depresi deh, mau konseling?' yang ada kayanya kita yang bakal disemprot"
disamperin,disamperi,2559,"@disyarinda Sedih dengernya, perihal ini ada di kode etik kita...sampai orangnya minta bantuan/membuka untuk dibantu, kita ga bisa seruduk nawarin bantuan 😔. Masnya juga ga mau kan tiba2 disamperin 'mas kayanya depresi deh, mau konseling?' yang ada kayanya kita yang bakal disemprot"
oom,om,2560,Anak oom bikin depresi Mak😭 Mn bentar lgi jam 9(•‿•)
mn,mana,2560,Anak oom bikin depresi Mak😭 Mn bentar lgi jam 9(•‿•)
•‿•,,2560,Anak oom bikin depresi Mak😭 Mn bentar lgi jam 9(•‿•)
suramji,,2561,"@fitriyaniiim Nda suramji, lebih ke depresi 🤣"
diarahin,diarahi,2563,"@olivefee_ @araasure @tanyakanrl Tapi utk psikolog juga baiknya jangan apa-apa diarahin ke agama, capek &amp; gedeg gue waktu depresi tiap konsultasi beda-beda psikolog akhirnya dikasihnya cuma ""Mendekatkan diri kepada Tuhan"". Akhirnya gue harus cari psikolog yg ga ""sereligius itu"" baru bisa terobati"
mostly,sebagian besar,2564,"Lo pikir gue seneng dan bahagia terus2an kontak sama lo? Ya enggak, mostly i feel sad hingga berujung depresi. Anxiety and unmotivated follows me around like hell"
unmotivated,tidak termotivasi,2564,"Lo pikir gue seneng dan bahagia terus2an kontak sama lo? Ya enggak, mostly i feel sad hingga berujung depresi. Anxiety and unmotivated follows me around like hell"
follows,mengikuti,2564,"Lo pikir gue seneng dan bahagia terus2an kontak sama lo? Ya enggak, mostly i feel sad hingga berujung depresi. Anxiety and unmotivated follows me around like hell"
hell,neraka,2564,"Lo pikir gue seneng dan bahagia terus2an kontak sama lo? Ya enggak, mostly i feel sad hingga berujung depresi. Anxiety and unmotivated follows me around like hell"
donk,dong,2565,@Persib33Yudi @otongkoil depresi kok berkelahi. depresi ya goyang pala black metal donk... 🤣
kdd,,2567,"@banjarbase Masa berduka kdd tanggal kadaluarsanya, pantau trs kaka ikam lah biarkan gin dlu sendiri tp mun dirasa cagar menyakiti diri sendiri atau berindikasi depresi bawa diskusi lawan lakinya. Semangat kakanya sender, semoga masih bersemangat gsn program😭😭"
kadaluarsanya,kadaluwarsa,2567,"@banjarbase Masa berduka kdd tanggal kadaluarsanya, pantau trs kaka ikam lah biarkan gin dlu sendiri tp mun dirasa cagar menyakiti diri sendiri atau berindikasi depresi bawa diskusi lawan lakinya. Semangat kakanya sender, semoga masih bersemangat gsn program😭😭"
ikam,,2567,"@banjarbase Masa berduka kdd tanggal kadaluarsanya, pantau trs kaka ikam lah biarkan gin dlu sendiri tp mun dirasa cagar menyakiti diri sendiri atau berindikasi depresi bawa diskusi lawan lakinya. Semangat kakanya sender, semoga masih bersemangat gsn program😭😭"
gsn,,2567,"@banjarbase Masa berduka kdd tanggal kadaluarsanya, pantau trs kaka ikam lah biarkan gin dlu sendiri tp mun dirasa cagar menyakiti diri sendiri atau berindikasi depresi bawa diskusi lawan lakinya. Semangat kakanya sender, semoga masih bersemangat gsn program😭😭"
nungging,menungging,2569,@heartb0mb shinji nungging adalah coping mechanism dari depresi dia
lily,,2571,"Btw, yang bawah gua nangis banget pas Lily kek kehilangan kedua ortunya (?). Soalnya dia nemenin perjalanan si Pilipa yang udah depresi gegara ditinggal Collin"
pilipa,,2571,"Btw, yang bawah gua nangis banget pas Lily kek kehilangan kedua ortunya (?). Soalnya dia nemenin perjalanan si Pilipa yang udah depresi gegara ditinggal Collin"
collin,,2571,"Btw, yang bawah gua nangis banget pas Lily kek kehilangan kedua ortunya (?). Soalnya dia nemenin perjalanan si Pilipa yang udah depresi gegara ditinggal Collin"
tobelo,,2572,Alami Depresi Wanita Paruh Baya Asal Tobelo Diamankan Dinsos Kota Ternate https://t.co/zzsr4aapb5
dinsos,,2572,Alami Depresi Wanita Paruh Baya Asal Tobelo Diamankan Dinsos Kota Ternate https://t.co/zzsr4aapb5
ternate,,2572,Alami Depresi Wanita Paruh Baya Asal Tobelo Diamankan Dinsos Kota Ternate https://t.co/zzsr4aapb5
lgbtq,,2573,"Orang LGBTQ bisa dapat terapi? YAS. Terapi apa? Terapi untuk mengatasi depresi. Apa elu kira depresi dan orientasi seksual hal yang sama? Oke, lo memang butuh terapi kalau punya mindset kayak gitu."
yas,ya,2573,"Orang LGBTQ bisa dapat terapi? YAS. Terapi apa? Terapi untuk mengatasi depresi. Apa elu kira depresi dan orientasi seksual hal yang sama? Oke, lo memang butuh terapi kalau punya mindset kayak gitu."
beomgyu,,2575,gatau knp setiap ngeliat beomgyu pas rambut panjang vibes nya kyk org depresi anjir😭😭😭😭
coming,,2578,Udah banyak yg sidang......... Takut bablas........................ Depresi 3.0 coming
gacinta,tidak cinta,2579,"Keegoisan dia yng gamau saling terbuka, gamau jujur, terus manipulatif disaat dia tau separah apa depresi gua, dan ada orang lain yang emng dia umpetin. WKW ya pantes sih dari november udh berubah, dia udah GACINTA GUA wkwk. Bgst"
ngejoke,memberi lelucon,2580,"@Askrlfess ngejoke ""besok senin"" aja ada yang offended katanya bikin depresi ngingetin sama tugas2nya💀"
offended,,2580,"@Askrlfess ngejoke ""besok senin"" aja ada yang offended katanya bikin depresi ngingetin sama tugas2nya💀"
nope,,2582,"@asuragodtangsan @Partono_ADjem Nope it doesn't. Lu goyah ya lu punya bibit kesana. Lu bisa cegah bibit itu, lu beruntung karena lu ga sampe depresi buat maksa ikutin apa yang dikatakan normal oleh agama dan dunia. Gw asexual, baca cerita-cerita yang banyak adegan sex, nonton adegan sex ga bikin gw pengen."
doesnt,,2582,"@asuragodtangsan @Partono_ADjem Nope it doesn't. Lu goyah ya lu punya bibit kesana. Lu bisa cegah bibit itu, lu beruntung karena lu ga sampe depresi buat maksa ikutin apa yang dikatakan normal oleh agama dan dunia. Gw asexual, baca cerita-cerita yang banyak adegan sex, nonton adegan sex ga bikin gw pengen."
ikutin,ikuti,2582,"@asuragodtangsan @Partono_ADjem Nope it doesn't. Lu goyah ya lu punya bibit kesana. Lu bisa cegah bibit itu, lu beruntung karena lu ga sampe depresi buat maksa ikutin apa yang dikatakan normal oleh agama dan dunia. Gw asexual, baca cerita-cerita yang banyak adegan sex, nonton adegan sex ga bikin gw pengen."
asexual,,2582,"@asuragodtangsan @Partono_ADjem Nope it doesn't. Lu goyah ya lu punya bibit kesana. Lu bisa cegah bibit itu, lu beruntung karena lu ga sampe depresi buat maksa ikutin apa yang dikatakan normal oleh agama dan dunia. Gw asexual, baca cerita-cerita yang banyak adegan sex, nonton adegan sex ga bikin gw pengen."
berserk,,2583,"@animefess_ Berserk ya Allah ketinggalan, anime isinya orang2 depresi."
ndon,,2586,"@Ndons_Back @dgLewa2011 Berarti kamu harus ke psikiater Ndon biar sembuh phobia kamu, takutnya nanti jadi depresi"
phobia,fobia,2586,"@Ndons_Back @dgLewa2011 Berarti kamu harus ke psikiater Ndon biar sembuh phobia kamu, takutnya nanti jadi depresi"
lune,,2588,"Lune ketika seseorang bilang suka aku, aku seneng bgt, trs aku berusaha buat bikin dia seneng juga, tapi semakin aku berusaha dia semakin nunjukin seberapa depresi,sedih dan moodynya dia, aku jadi ngerasa gagal karena gak bisa buat dia bahagia juga pas sama aku, salah (cont..)"
moodynya,suasana hatinya,2588,"Lune ketika seseorang bilang suka aku, aku seneng bgt, trs aku berusaha buat bikin dia seneng juga, tapi semakin aku berusaha dia semakin nunjukin seberapa depresi,sedih dan moodynya dia, aku jadi ngerasa gagal karena gak bisa buat dia bahagia juga pas sama aku, salah (cont..)"
cont,,2588,"Lune ketika seseorang bilang suka aku, aku seneng bgt, trs aku berusaha buat bikin dia seneng juga, tapi semakin aku berusaha dia semakin nunjukin seberapa depresi,sedih dan moodynya dia, aku jadi ngerasa gagal karena gak bisa buat dia bahagia juga pas sama aku, salah (cont..)"
ungkapin,ungkapkan,2589,"Wejangan : kalo dah berkeluarga apalagi punya anak belajar untuk tidak peduli omongan orang lain, baby blues dan depresi emang semengerikan itu dan gk bnyak wanita ungkapin, dan pemicunya cuma krena omongan orang lain... aku masih santai sampai realita itu datang sndri nantinya."
roaccutane,,2590,"@convomf kalo udah mentok banget parah terus, bisa minta di resep in roaccutane 10mg tapi side effectnya depresi&amp; mental health issues lainnya :,) terus ga boleh hamil dulu selama kurleb 6 bulan an"
mg,,2590,"@convomf kalo udah mentok banget parah terus, bisa minta di resep in roaccutane 10mg tapi side effectnya depresi&amp; mental health issues lainnya :,) terus ga boleh hamil dulu selama kurleb 6 bulan an"
effectnya,efeknya,2590,"@convomf kalo udah mentok banget parah terus, bisa minta di resep in roaccutane 10mg tapi side effectnya depresi&amp; mental health issues lainnya :,) terus ga boleh hamil dulu selama kurleb 6 bulan an"
depresidan,depresi dan,2590,"@convomf kalo udah mentok banget parah terus, bisa minta di resep in roaccutane 10mg tapi side effectnya depresi&amp; mental health issues lainnya :,) terus ga boleh hamil dulu selama kurleb 6 bulan an"
kurleb,kurang lebih,2590,"@convomf kalo udah mentok banget parah terus, bisa minta di resep in roaccutane 10mg tapi side effectnya depresi&amp; mental health issues lainnya :,) terus ga boleh hamil dulu selama kurleb 6 bulan an"
jawablu,jawab kamu,2593,"@LUNERPW Nggak salah sih, lu kan mau ada hubungan sama orang supaya lu jauh lebih baik, kalo lu sama dia jadi ikutan negatif dan depresi, mending lepas ajalah, bukan tanggung jawablu juga buat nyenengin orang yang ga mau di senengin"
senengin,senangi,2593,"@LUNERPW Nggak salah sih, lu kan mau ada hubungan sama orang supaya lu jauh lebih baik, kalo lu sama dia jadi ikutan negatif dan depresi, mending lepas ajalah, bukan tanggung jawablu juga buat nyenengin orang yang ga mau di senengin"
omegasqua,,2596,"Kandungan nutrisi omega-3 dengan kualitas tinggi bisa kamu dapatkan pada K-OmegaSqua Plus. K-OmegaSqua Plus juga dilengkapi dengan squalene, vitamin D dan vitamin E. Kombinasi bahan-bahan alami tersebut efektif menjaga kesehatan otak dan dapat membantu mengurangi risiko depresi. https://t.co/utqkxi2ilV"
squalene,,2596,"Kandungan nutrisi omega-3 dengan kualitas tinggi bisa kamu dapatkan pada K-OmegaSqua Plus. K-OmegaSqua Plus juga dilengkapi dengan squalene, vitamin D dan vitamin E. Kombinasi bahan-bahan alami tersebut efektif menjaga kesehatan otak dan dapat membantu mengurangi risiko depresi. https://t.co/utqkxi2ilV"
krus,kurus,2598,PASTI MAS KRUS AK LIAT SD DI IG SECOND AK DEPRESI DEH BUKAN DENG TAPI ILPIL
deng,,2598,PASTI MAS KRUS AK LIAT SD DI IG SECOND AK DEPRESI DEH BUKAN DENG TAPI ILPIL
ilpil,,2598,PASTI MAS KRUS AK LIAT SD DI IG SECOND AK DEPRESI DEH BUKAN DENG TAPI ILPIL
ukhti,kakak,2599,"@wickedbunnies Alhamdulilah ukhti, kemarin rasanya depresi, abis ruqyah jadi schizophrenia. Hehehehe."
ruqyah,rukyat,2599,"@wickedbunnies Alhamdulilah ukhti, kemarin rasanya depresi, abis ruqyah jadi schizophrenia. Hehehehe."
hehehehe,tawa,2599,"@wickedbunnies Alhamdulilah ukhti, kemarin rasanya depresi, abis ruqyah jadi schizophrenia. Hehehehe."
gmpg,gampang,2600,Moodyan dibilang bipolar. Wkwk gmpg bgt self diagnose dah org” ni
gbkl,tidak bakal,2601,"Org gatau lo lagi sedih, lagi depresi, lagi sakit, lagi susah, lagi down, org gbkl tau. Yg tau cumn diri lo, maka dari itu mulai skrg syg s sm diri lo, cumn lo yg bisa ngrasain dan ngatasin semuanya."
cumn,cuma,2601,"Org gatau lo lagi sedih, lagi depresi, lagi sakit, lagi susah, lagi down, org gbkl tau. Yg tau cumn diri lo, maka dari itu mulai skrg syg s sm diri lo, cumn lo yg bisa ngrasain dan ngatasin semuanya."
ngatasin,mengatasi,2601,"Org gatau lo lagi sedih, lagi depresi, lagi sakit, lagi susah, lagi down, org gbkl tau. Yg tau cumn diri lo, maka dari itu mulai skrg syg s sm diri lo, cumn lo yg bisa ngrasain dan ngatasin semuanya."
gimna,bagaimana,2603,@tanyakanrl klo depresi taruhannya nyawa gimna
hshsha,tawa,2604,@rinaiombak HSHSHA GA YAKIN AKU UDH DEPRESI
figure,sosok,2605,@mengternak Ketawa banget gue liat figure reiner depresi di tengah figur figur bokep
reiner,,2605,@mengternak Ketawa banget gue liat figure reiner depresi di tengah figur figur bokep
bokep,pornografi,2605,@mengternak Ketawa banget gue liat figure reiner depresi di tengah figur figur bokep
babget,sangat,2606,"Bner babget woi sumpah. Dikit2 depresi lah, ga bisa tidur ngeklaim depresi lah padahal emng abis minum kopi. Oalah."
ngeklaim,mengklaim,2606,"Bner babget woi sumpah. Dikit2 depresi lah, ga bisa tidur ngeklaim depresi lah padahal emng abis minum kopi. Oalah."
oalah,,2606,"Bner babget woi sumpah. Dikit2 depresi lah, ga bisa tidur ngeklaim depresi lah padahal emng abis minum kopi. Oalah."
boyz,,2608,"The Boyz adalah salah satu idol kpop yg membantu gue melewati masa-masa depresi gue, that’s why i have respect for them and of course their hardwork is on another level 👏🏻 I don’t say idol kpop lain gak kerja keras, mana mungkin gak kerja keras. Mereka smua bisa jadi idol -cont"
thats,,2608,"The Boyz adalah salah satu idol kpop yg membantu gue melewati masa-masa depresi gue, that’s why i have respect for them and of course their hardwork is on another level 👏🏻 I don’t say idol kpop lain gak kerja keras, mana mungkin gak kerja keras. Mereka smua bisa jadi idol -cont"
course,,2608,"The Boyz adalah salah satu idol kpop yg membantu gue melewati masa-masa depresi gue, that’s why i have respect for them and of course their hardwork is on another level 👏🏻 I don’t say idol kpop lain gak kerja keras, mana mungkin gak kerja keras. Mereka smua bisa jadi idol -cont"
hardwork,,2608,"The Boyz adalah salah satu idol kpop yg membantu gue melewati masa-masa depresi gue, that’s why i have respect for them and of course their hardwork is on another level 👏🏻 I don’t say idol kpop lain gak kerja keras, mana mungkin gak kerja keras. Mereka smua bisa jadi idol -cont"
reality,kenyataan,2612,"Back to reality,kembali ke kehidupan yg gelap,lelah,depresi,kesepian,ga punya teman,dan ga punya ayang 😎"
ei,,2613,@miyawakisakuara @xyxixyxixy ei aku 2018 mah fokus mencari jati diri dengan menangis dan mood depresi:/
tonti,,2614,@waferratusan @xyxixyxixy depresi n cari jati diri di tonti gk 😔🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
far,jauh,2617,"@indomyfess So far away - Suga, buat yg (sorry) depresi atau lg stress krna mikirin masa depan"
suga,,2617,"@indomyfess So far away - Suga, buat yg (sorry) depresi atau lg stress krna mikirin masa depan"
divalpi,,2620,gue diresepin divalpi padahal gue ga bipolar cm f32 aja🥲🥲🥲 sampe skrng blm w co
dengernyaa,dengarnya,2622,"hari ini dapet kabar, klo tmn gua yg bipolar ngelakuin percobaan bunuh diri lagi. sedih bgt dengernyaa"
jigeum,,2624,"@shencostan @AREAJULID @aftprw rata2 gitu, malah bilang “aku mengidap bipolar” ada2 aja anak jaman jigeum😂"
triggered,,2627,Self diagnose itu yang “Aku bipolar” Tanpa emang berobat Ke psikiater dan mereka bilang itu Ke semua orang ? itu Baru namanya self diagnose . LAH INI Aku cmn Ke triggered Karna pernah ter bully Trs km bilang self diagnose 😃Duh keknya otak mu yang kurang rasional dalam berpikir
apology,,2628,"Bangun pagi mak aku ckp aku deserve an apology from her and my dad sebab aku MDD, anxiety, and bipolar."
mdd,,2628,"Bangun pagi mak aku ckp aku deserve an apology from her and my dad sebab aku MDD, anxiety, and bipolar."
caa,,2631,@exccaca Kasian banget aku caa sama temenkuu:(( aku takut lama lama dia depresi di teror teeus
temenkuu,temanku,2631,@exccaca Kasian banget aku caa sama temenkuu:(( aku takut lama lama dia depresi di teror teeus
teeus,,2631,@exccaca Kasian banget aku caa sama temenkuu:(( aku takut lama lama dia depresi di teror teeus
trussss,terus,2632,si kiki kea depresi gt trussss dia balik ke tempat si rem eh dia berantem ama dr. rem ya ampe mati (yang mati si kiki)
major,mayor,2633,"@mardiasih Sekitar awal bulan maret, akhirnya psikolog aku bilang kalau aku punya MDD (Major Depressive Disorder) atau gangguan depresi mayor, dan ya, percobaan bunuh diri, self harm, dll udah ngerasain semua, pemikiran bunuh diri mah tiap hari atuh 😂"
kmudian,kemudian,2635,@AREAJULID Temenku saat itu sering nangis gajelas dan berubah jd penyendiri lalu dia iseng cek di website gitu untuk mengetahui kondisi mentalnya. Hasil yg dia dpt depresi berat. Beberapa hari kmudian dia ke profesional dan hasil diagnose nya justruu lebih parah. Kalo bgini gimana?
